trial,transient_counts,cdt,mdt,dtstd,key_press_list
14,9,26.777076482772827,8.925692160924276,2.8510018064625706,"[12.957606792449951, 6.917812824249268, 6.901656866073608]"
15,12,18.71009397506714,4.677523493766785,5.461539716695946,"[1.7493348121643066, 2.1493582725524902, 0.7175819873809814, 14.09381890296936]"
11,6,8.443026781082153,4.221513390541077,0.007837414741516113,"[4.2136759757995605, 4.229350805282593]"
6,9,21.920229196548462,7.306743065516154,5.7161741119581215,"[14.925827980041504, 5.836886167526245, 1.157515048980713]"
9,15,10.659851312637329,2.131970262527466,1.2580265412544986,"[3.1015918254852295, 2.7733638286590576, 3.4699041843414307, 0.19739532470703125, 1.11759614944458]"
8,9,16.8327853679657,5.610928455988566,1.6176829890621842,"[7.885528087615967, 4.261508941650391, 4.685748338699341]"
22,6,11.84306287765503,5.921531438827515,0.07598543167114258,"[5.997516870498657, 5.845546007156372]"
20,9,10.600569248199463,3.5335230827331543,2.22435903298685,"[0.8294541835784912, 3.493556022644043, 6.277559041976929]"
13,3,29.334119081497192,29.334119081497192,0.0,[29.334119081497192]
3,15,15.588084697723389,3.1176169395446776,1.3032752846272282,"[1.8294339179992676, 2.621452808380127, 5.11788272857666, 4.141617059707642, 1.8776981830596924]"
5,12,18.630590200424194,4.657647550106049,2.674445077874823,"[1.8214659690856934, 6.181793212890625, 8.261797189712524, 2.3655338287353516]"
2,12,16.526287078857422,4.1315717697143555,0.5517219207087776,"[4.5574891567230225, 4.517441987991333, 3.1975741386413574, 4.253781795501709]"
4,9,12.361073970794678,4.120357990264893,1.4244172119523328,"[5.230109930038452, 5.021430015563965, 2.1095340251922607]"
24,12,16.383718013763428,4.095929503440857,2.0886943561067266,"[6.07892918586731, 2.533724784851074, 6.229595899581909, 1.5414681434631348]"
1,6,3.6268787384033203,1.8134393692016602,0.43196773529052734,"[2.2454071044921875, 1.3814716339111328]"
17,12,14.198025941848755,3.5495064854621887,2.256287596100485,"[2.437525987625122, 6.421435832977295, 4.829410076141357, 0.5096540451049805]"
12,9,25.72903299331665,8.57634433110555,0.9014549419828478,"[9.381680011749268, 7.31781005859375, 9.029542922973633]"
23,3,4.701107978820801,4.701107978820801,0.0,[4.701107978820801]
21,3,4.365400075912476,4.365400075912476,0.0,[4.365400075912476]
7,6,17.987428903579712,8.993714451789856,1.61996328830719,"[10.613677740097046, 7.373751163482666]"
19,6,26.555654287338257,13.277827143669128,11.896063923835754,"[25.173891067504883, 1.381763219833374]"
16,6,14.859079837799072,7.429539918899536,2.960167169570923,"[4.469372749328613, 10.389707088470459]"
0,12,9.294685363769531,2.323671340942383,1.3034899978299077,"[4.422197103500366, 0.989389181137085, 1.5414299964904785, 2.3416690826416016]"
18,12,20.49391222000122,5.123478055000305,1.5686355164262968,"[7.053230047225952, 4.6778130531311035, 2.8292341232299805, 5.933634996414185]"
10,9,22.59341263771057,7.5311375459035235,4.004107077503314,"[6.885854959487915, 12.725843906402588, 2.9817137718200684]"
