trial,luminance,repetition,complementary,transient_counts,cdt,mdt,dtstd,key_press_list
1,15,4,1,4,1.5705950260162354,0.7852975130081177,0.37208640575408936,"[1.157383918762207, 0.4132111072540283]"
2,60,3,0,0,0.0,0.0,0.0,[]
3,200,1,1,0,0.0,0.0,0.0,[]
4,35,5,1,2,1.1971299648284912,1.1971299648284912,0.0,[1.1971299648284912]
5,60,4,0,2,7.461116313934326,7.461116313934326,0.0,[7.461116313934326]
6,25,3,1,2,4.613464832305908,4.613464832305908,0.0,[4.613464832305908]
7,5,3,0,8,9.856213092803955,2.4640532732009888,1.9561131829425498,"[2.7917840480804443, 5.533292055130005, 0.7016158103942871, 0.8295211791992188]"
8,15,1,0,4,8.28331995010376,4.14165997505188,3.2879931926727295,"[0.8536667823791504, 7.429653167724609]"
9,35,3,1,0,0.0,0.0,0.0,[]
10,25,4,0,8,19.278879165649414,4.8197197914123535,2.536609380297118,"[1.19759202003479, 8.18181300163269, 5.7498180866241455, 4.149656057357788]"
11,15,3,1,4,6.546649932861328,3.273324966430664,1.0361411571502686,"[4.309466123580933, 2.2371838092803955]"
12,35,1,0,6,20.644397735595703,6.881465911865234,1.7814108687023817,"[9.102694749832153, 6.800290107727051, 4.741412878036499]"
13,25,1,0,6,20.176225185394287,6.725408395131429,5.516669437296388,"[3.540929079055786, 14.485693216323853, 2.1496028900146484]"
14,25,2,1,4,1.2503647804260254,0.6251823902130127,0.31615543365478516,"[0.9413378238677979, 0.30902695655822754]"
15,5,4,1,0,0.0,0.0,0.0,[]
16,15,5,0,4,27.651652097702026,13.825826048851013,12.548356175422668,"[26.37418222427368, 1.2774698734283447]"
17,15,1,1,8,9.725919246673584,2.431479811668396,1.8148704807694902,"[1.1494061946868896, 1.8214962482452393, 1.2131047248840332, 5.541912078857422]"
18,25,5,1,0,0.0,0.0,0.0,[]
19,15,5,1,10,8.363492012023926,1.672698402404785,1.3961435392759836,"[2.8295698165893555, 3.7411582469940186, 0.2536470890045166, 0.27753400802612305, 1.261582851409912]"
20,25,3,0,6,23.200734853744507,7.733578284581502,7.767871328443364,"[4.717352867126465, 0.09365701675415039, 18.38972496986389]"
21,15,4,0,6,20.945474863052368,6.981824954350789,5.095584959599468,"[0.7895622253417969, 13.270038843154907, 6.885873794555664]"
22,15,3,0,8,21.1680588722229,5.292014718055725,2.2162663390446458,"[5.373686075210571, 8.453872203826904, 5.150637626647949, 2.1898629665374756]"
23,15,2,0,6,26.00156307220459,8.667187690734863,9.460363694969175,"[22.04606604576111, 1.9337902069091797, 2.0217068195343018]"
24,5,1,1,0,0.0,0.0,0.0,[]
25,60,2,0,6,3.1679787635803223,1.0559929211934407,1.0279277910616187,"[2.5091099739074707, 0.3653709888458252, 0.29349780082702637]"
26,5,3,1,0,0.0,0.0,0.0,[]
27,35,1,1,0,0.0,0.0,0.0,[]
28,5,5,0,2,1.38930082321167,1.38930082321167,0.0,[1.38930082321167]
29,35,2,1,0,0.0,0.0,0.0,[]
30,35,4,1,0,0.0,0.0,0.0,[]
31,25,5,0,6,25.60944414138794,8.536481380462646,7.414694656658741,"[18.58207106590271, 6.117748975753784, 0.9096240997314453]"
32,35,4,0,8,20.238621950149536,5.059655487537384,2.410528426243665,"[5.333261013031006, 1.685811996459961, 8.47781777381897, 4.7417311668396]"
33,5,5,1,2,0.6634469032287598,0.6634469032287598,0.0,[0.6634469032287598]
34,60,2,1,0,0.0,0.0,0.0,[]
35,15,2,1,8,8.453948974609375,2.1134872436523438,1.4726862428923015,"[2.173200845718384, 0.06969380378723145, 1.981633186340332, 4.229421138763428]"
36,60,1,1,0,0.0,0.0,0.0,[]
37,60,5,0,2,3.1091458797454834,3.1091458797454834,0.0,[3.1091458797454834]
38,5,2,1,2,1.7493438720703125,1.7493438720703125,0.0,[1.7493438720703125]
39,60,4,1,0,0.0,0.0,0.0,[]
40,200,1,0,0,0.0,0.0,0.0,[]
41,5,1,0,6,3.040342330932617,1.0134474436442058,0.4311958598070657,"[1.0136001110076904, 1.5414760112762451, 0.48526620864868164]"
42,60,1,0,4,3.1624410152435303,1.5812205076217651,0.9203554391860962,"[2.5015759468078613, 0.660865068435669]"
43,60,3,1,0,0.0,0.0,0.0,[]
44,60,5,1,0,0.0,0.0,0.0,[]
45,25,1,1,2,1.8130970001220703,1.8130970001220703,0.0,[1.8130970001220703]
46,35,2,0,2,28.414222955703735,28.414222955703735,0.0,[28.414222955703735]
47,5,4,0,8,17.8947811126709,4.473695278167725,4.013665040547535,"[10.125720977783203, 6.4057371616363525, 0.6615700721740723, 0.7017529010772705]"
48,5,2,0,10,5.731875419616699,1.1463750839233398,0.5633525032509659,"[1.7495620250701904, 1.1575322151184082, 1.7895910739898682, 0.6135528087615967, 0.42163729667663574]"
49,35,5,0,6,6.752600908279419,2.250866969426473,1.7689856674267415,"[1.6535770893096924, 4.653412818908691, 0.44561100006103516]"
50,25,2,0,4,27.25994372367859,13.629971861839294,2.680038094520569,"[10.949933767318726, 16.310009956359863]"
51,35,3,0,12,16.30570077896118,2.7176167964935303,1.151735946204026,"[3.981282949447632, 3.5897269248962402, 2.821777105331421, 2.693802833557129, 2.861459970474243, 0.3576509952545166]"
52,25,4,1,6,8.088587045669556,2.696195681889852,0.8924680351845349,"[3.4692280292510986, 1.4456398487091064, 3.1737191677093506]"
